FRASE,Intensidade
putar,3
filha puta,3
chupar pau,3
viar,3
bosto,3
bosto,3
cuzãor,3
cuzãor,3
nariz pinto,3
imbecil,2
peitão,2
escroto,2
cabeça merda,3
viar,3
Mexicano,2
fudir,3
aparecer la bobo,1
grosso,2
gostar cabelo voce estragar,2
cara ai,2
bobo,2
ir estragar voce,3
emprestar cerebro voce ta usar,2
danado,1
voce idiota,2
voce cara idiota,2
carro idiota,2
voce apartamento idiota,2
voce idiota pra,2
nao criminoso cruel voce,2
voce cabeça formato neadertal,2
negão,3
viar,3
bicho,3
gay,3
tuberculoso,2
bundão,3
balofo,2
bafo cinsero,2
de aqui fumante filha puta,3
bixa louco,3
babaco,3
calar boca,2
bicha louco,3
ta louco,2
toma cú,3
calar boca,2
catar,3
ta ferrar,3
morrer,3
olhar fogo ai vagabur,3
almodega safar,2
voce enchar saco,2
voce,1
voce infatil,1
ferrar,3
calar boquinha,2
cambar viar,3
aler viado burro,3
troglodita,3
ferra,3
miseravel,2
traiçoeiro,2
trapaceiro,2
ate loguinho otario,2
vergonha,2
sujeitar,1
ta parer atropelar,1
acabar picapau,1
otario,1
ir atirar,1
acabar pica pau,1
picapau metidinho,1
otario,2
mão pro alto,2
otario,2
vadia,3
neguinho,2
vaclião,2
feio,1
tá bravinho,1
filho quenga,3
idiotice,1
voce cego,2
mau halito,3
lixo podre,3
mãe ta zona,3
filho puta,3
lazarento,3
toma olho cu,3
corno,3
arrombar,3
ze buceta,3
ficar acobertar robo filha puta,3
calar boca,2
tá tá descartavel,1
pitch bixa,3
filha puta,3
irritante,1
arrombado,3
ta fudir comigo,3
suvaco sair catinga,1
ir fude mundo,3
enfio canudor cu,3
ir cume cu lata,3
cabeludo,1
foder mini sociopato,3
gente pra casa otario,3
voce inutil,3
filho puta,3
burro mortyr,2
voce fracassado patetico,3
corno lazarento,3
enfia cú,3
filho puta tomar,3
baitola voce,3
idiota acreditar,2
negocinhar concozinho,3
ai bundão,2
velho escroto inutil,3
saco bosta,3
levar vale baixinho,1
mala alça,1
urubu Malandro,2
otario,2
otario,2
ser bobo,1
carar bobar,1
louco,2
elá louco,2
picapau maluco,1
maquina malvar,1
carar bobar,1
ficar,1
voce so destruir,1
naoer,1
conhecelo,1
naninco,1
esquisito,1
voce voar janela,2
terrivel,2
louco,1
ser ridicular,1
mau caráter,2
monstro,2
falar comigo denovo,2
amigo onça,1
bancar ridículo,1
tolice,1
estuper,1
baixinhar,1
ai cacete calar boca,2
pentelhar,2
ta merda,2
tadinho,2
voce naoer grana,1
bater suburbano,1
levar pobre,2
calar boca,2
depenar,2
estuprador,3
to telefone bichar burra,3
cacete bicha louco,3
voce cara Suburbano,2
ho bixa burra,3
bixa louco,3
velinhar,1
despresivel,2
menino mau,1
atacar coelho,1
criatura,1
baixinhar,1
mula corcundo,2
ir mandalo inferno,2
criatura,1
verme,3
nojento,2
ir estourar,3
calar boca,2
mula,2
perverso,2
merda,3
truque barato,1
malandragem,1
maldição,1
pra eu nao fenhoso,1
ah viadinho,3
bundão Bundão,2
pederasta,2
comer merda,3
calar boca porrar,3
porra torrada viar,3
tá querer sacanear,2
merda,3
nego,1
gorduroso,2
ligerinho maluco cabeça,2
voce louco,2
ladrão,1
levar tiro,2
tristonho,1
ladrão milho,1
pato sujo,1
vergonha,1
espantar,1
ser medroso,1
chegar pra la estuper,2
ficar ai,1
pato espantalhar,1
maluco cabeça,2
livrr,2
bostinha,3
garota cuzonar,3
calar boca,2
bestinhar,1
cara,1
idiota,2
vingativo,1
problema,2
calar,2
calar boca,2
merda pai,3
voce merecer,1
fico feliz Machuca,3
nao facilita,3
imbecil,3
voce nao ser burro merda,3
nao legal,2
cuzãor,3
cara bunda rachar,3
nao ter ser incopetente,1
ir matar riky,3
voce cruel,1
familia invergunhar,1
sinto pena voce,2
voce morrer,3
voce cuzão,3
rlx cu ai,3
batata tá açar,2
vivar resto dia negação,1
voce ser cruel,1
tchau fracassar,2
mente fraco,1
burne nao presta,1
odeer burne,3
mau,1
cair smitter,2
ir soco,2
mão vaca,2
demoniar fajuto,2
garoto alma obscuro ja ver,2
ze ruela,2
muleque,2
outro mundo,1
voce matar marido,3
voce,1
nao,1
voce inutil,2
so servir peso papel,2
ir pisar voce,3
voce mao vaca,2
perdedor,2
porcar carro,2
inutil,2
nao,1
voce naoer saber,1
impestiar casa,1
malditar gato,2
nao,1
perdedor,1
filho viver so,1
idiota,3
malditar,2
calar boca,2
idiota,2
daner,3
arvore malditar,2
píor ja,1
caipira,1
festa acabo caipira,1
cair,2
voltar maldito,2
calar boca,2
abestar,1
linguarudo,1
voce esquesito,2
neguinho,3
levar pe boca,2
doente,2
canalhar,2
doido,2
penetrar,3
sair pra la,2
assasino,2
nao pai mae,3
maluco,2
nao,1
pro mijo,2
paparicar,1
fico assustar,1
pra jesus,1
voce naoer falar,1
bundo gordar,2
putar magrela,3
idiota microfone,2
vadia,3
puta,3
malditar,2
vader,3
coisa ridiculo,1
vader,3
babaco,2
voce puta,3
foder,3
corno,3
foder,3
pe rapado,1
otario,2
macaco,2
ir arrancar bola,3
biperd merda,3
Macaco bobaõr,3
niguir ligar,2
cuider sau propria merr,3
boster,3
dou muqueta,2
maluco,2
Babão,1
voce ta agredir,2
ir derrubar,1
dou muqueta,2
cara egoista planeta,2
duvir alguir pense voce,2
bichinho pelucia,2
odeiar regra,2
