FRASE;Intensidade
"""Porque não, a cusão é que ele e eu ao mesmo tempo, hein?""";Leve
"""julgamento por pornografia infantil.""";Leve
"""E se está mostrando muita puta""";Severa
"""chuva dorada""";Leve
"""Porque não, a Cusão """;Severa
"""Onde é que estão aqueles seus dois netos, cabeça de merda, hein?""";Severa
"""Cara, foda-se, esses criollos intelectuais de uma figa.""";Severa
"""Essa é a única forma de manter esses criollos sob controle.""";Leve
"""Aquele nego desgraçado """;Leve
"""esses criolos sob""";Leve
"""É, elas andam confio dental, bem enfiado na bunda.""";Leve
"""Que porra é essa?""";Severa
"""vadia branca.""";Severa
"""sortudo desgraçado.""";Leve
"""atraído sexualmente""";Leve
"""Ou eu bato na sua bunda.""";Leve
"""Ah, droga.""";Leve
"""Droga, causando pânico nos brancos.""";Leve
"""que não agir como criolo""";Leve
"""Um... E diabos!""";Leve
"""Esse desgraçado foi pegar uma capa de chuva.""";Leve
"""Porra, Robert, você viu uma passeata usando uma beira de capa de chuva?""";Severa
"""Você é um desgraçado que o senhor...""";Leve
"""A mulher branca com uma bela bunda.""";Severa
"""Filho da puta""";Severa
"""E ainda será um filho da puta idiota.""";Severa
"""Por causa da porra do cheiro.""";Severa
"""É uma invenção de merda.""";Severa
"""Eles devem muito com essa merda da sua cara.""";Severa
"""Devem achar que você é a porra do Sidney Potier.""";Severa
"""Pra mim isso aqui é tudo uma merda.""";Severa
"""Ou B, lutar com babaca do crioulo cego e louco.""";Leve
"""Seu filho da puta, seu crioulo e diota.""";Severa
"""O que você está fazendo desgrassado? """;Leve
"""esta droga de música?""";Leve
"""Este é o criolo negro samurai.""";Leve
"""Um momento criolo""";Leve
"""Eu vi você no jornal com essa sua bunda preta.""";Leve
"""quer ter um criolo""";Leve
"""filho da puta """;Severa
"""Foi por isso, merda.""";Severa
"""Ele mata um homem usando só a bunda.""";Severa
"""Um momento criolo particular em vergonha você.""";Leve
"""Eu vou comer de sessão, velho!""";Leve
"""É, tá se borrando todo seu criolo safado.""";Leve
"""Aqui a gente não desperdiça porra nenhuma.""";Severa
""" mandado para a prisão e ser estuprado""";Severa
"""descreviu violento estupro""";Severa
"""Vou caçar ele por aí, dá para ele comer os seus próprios testículos.""";Leve
"""Eles vão te estuprar""";Severa
"""Foda-se.""";Severa
"""A gente tem que ir atrás do filho da puta.""";Severa
"""Eu vou montar no traseiro dele que nem um filho da puta.""";Severa
"""Eu quero que todo mundo se foda!""";Severa
"""Eu tô com fome pra caralho.""";Severa
"""É a merda do racismo.""";Leve
"""Português, eu filho da puta, você fala?""";Severa
"""Eu te desafio, seu filho da puta.""";Leve
"""Caralho!""";Severa
"""Mas, o que vocês estão olhando, caralho?""";Severa
"""puta,puta,puta""";Severa
"""seu puto fudido""";Severa
"""fudido""";Severa
"""Emorroida""";Severa
"""Que diabos""";Severa
"""porra""";Severa
"""Bixas""";Severa
"""Que merda""";Severa
"""Monte de bosta""";Severa
"""Voce e um bosta""";Severa
"""No meu rabo""";Severa
"""Não peida""";Leve
"""Caralho""";Severa
"""Que merda""";Severa
"""Se pegar""";Severa
"""Oh, caralho!""";Severa
"""sem esses putos aparecerem""";Leve
"""pra se sincero ele é uma bosta""";Severa
"""Meu pau""";Severa
"""porra!""";Severa
"""pé na porra do universo""";Severa
Chega no seu filho da puta.;Severa
"""Feira puta!""";Severa
"""Que merda nada!""";Leve
"""cidade foda.""";Severa
""" em uma franquia foda""";Severa
"""sua piranha burra""";Severa
"""Todo pai um dia comeu mãe de alguém""";Severa
"""já comeu a sua mãe""";Severa
"""Meu pai comeu a minha mãe""";Severa
"""Ah, conta essa porra!""";Severa
"""É só assim que eu relaxo de tanto ouvido as suas merdas, caralho!""";Severa
"""Não brinque no meu da rua, piralhos do caralho!""";Severa
"""quem cagou na minha varanda?""";Leve
"""Você não passa de uma bichinha!""";Leve
"""Ah, merda!""";Severa
"""Foda-se os amigos da liberdade!""";Severa
"""Repito, caralho, cadê você, Supercrack?""";Severa
"""Caralho, mas que porra!""";Severa
“Foda-se! Mãe! Foda-se! Foda-se! Foda-se!”;Severa
"""Ei, que porra é essa agora?""";Severa
"""Eu já dei conta de um merdinha.""";Severa
"""E quando acabou seu último pingo de força, você achou sua ficha de habilidade. Porra, dói pra valer.""";Severa
"""Comer a sua mãe.""";Severa
“Se ele deixou você, puto. E o vilão cometerá um erro, fatal.”;Leve
"""se não fosse tão puritana na cama.""";Leve
"""mercado aberto de crianças escravas de Dubai""";Leve
"""Ela deu pro irmão do Bodo""";Severa
""" pensando que eu sou algum tipo de pervertido""";Leve
"""estava ordenando minha próstata""";Severa
"""Que bosta!""";Severa
"""Agora onde está privada nessa bosta de galpão?""";Severa
"""mas não tente pegar no meu pênis.”""";Severa
""" e alimento para os demônios""";Severa
"""Vá, cagá!""";Leve
"""Cala essas criaturas do inferno.""";Severa
"""A gente está exorcizando esse filotinho de capeta.""";Leve
"""Te vejo no inferno, mãe.""";Severa
"""Te vejo no inferno, filho.""";Severa
""" parece ser uma orgia gay""";Severa
"""Porra.""";Severa
"""É da boa, porra.""";Severa
"""Isso, porra.""";Severa
"""Ah, merda.""";Severa
"""Mas que merda.""";Severa
"""Silêncio no set, porra.""";Severa
""" tem pedacinhos de maconhas presos na frigideira""";Severa
"""Ótimo, quase lá. Não vale. Não vale. Mais fortes. Mais rápidas""";Severa
"""lendo uma Playboy""";Leve
""" Empurre mais um pouco dedo.. Mais rápido. Mais forte""";Severa
"""Que merda.""";Severa
"""Que merda de comida.""";Severa
"""Você tem a cabeça no meio da bunda, não é?""";Severa
"""Gordon Ramsay diz que você é um merda e hora de desistir.""";Severa
"""cozinha do inferno do chefe de aço do combate """;Leve
"""Que merda morga!""";Severa
"""Eu fiz sua conta no pornhub, e outra.""";Severa
"""Que merda.""";Severa
""" mas que merda foi aquilo .""";Severa
"""me masturbar""";Severa
"""feito é chupar uma cara""";Severa
"""Quero te chupar todinho.""";Severa
"""Também quero te chupar""";Severa
"""Eu vou te chupar na broderagem.""";Severa
""" Me chupa""";Severa
""" Vamos fazer essa merda e...""";Severa
"""Tá mais pra conselho de gozo.""";Leve
"""Eu não vou limpar essa merda toda.""";Severa
"""Até que eu acho meio foda.""";Severa
"""Preciso cagar um ovo.""";Leve
"""Vai se ferra, você tá ouvindo isso!""";Leve
"""mas foda-se se eu tenho pergunta sobre o homem estrela""";Severa
"""Olha, para o seu toba!""";Leve
"""E o que eu tomei no toba?""";Severa
""" Porra, esses caras querem muito bem matar!""";Severa
"""Sem da camiseta, faça sexo, com segurança!""";Severa
"""Tu que fosse porra""";Severa
"""Essa fantasia tem cheiro de bunda.""";Leve
"""eu sou seu pai, porra.""";Severa
"""ex-máquina, mas não trepa com ele, SAMER!""";Severa
"""Parece um porre.""";Leve
"""Por que essa merda?""";Severa
"""Agora, leve essa sua rabeta de palmito até a cozinha e me traz uma coca-zero.""";Leve
"""Ah, merda!""";Severa
""" Ah, essa jorra merda!""";Severa
"""Se o meu avô tem uma fraqueza, são as vadias.""";Severa
"""aí é foda""";Severa
"""aquele velhote conseguiu fuder com a tua cara""";Severa
"""você vai ter um monte de vadia""";Severa
"""Eles vão deixar essa casa de um 5 vezes maior com mais quartos para as vadias.""";Severa
""" Ninguém cata tanta vadia quanto Rio Gretner, não é?""";Severa
"""me chamem de vadio.""";Leve
"""Tá certo, senhor vadil.""";Leve
"""com toda licença, senhor vadil""";Leve
"""Foda que barulho.""";Severa
""" Eu pensei, puta!""";Severa
"""Cara, meu avô fudeu com esquema todo!""";Severa
"""Que merda!""";Severa
"""Será que eu posso falar a fudeu?""";Severa
"""sopa parece mijo de cávalo""";Leve
"""Boa noite, o amigo imaginário do Henry passou a mão na minha bunda.""";Leve
"""Proceiro pra vocês vai lá pra p*** da caluzeta!""";Severa
"""E quem melhor pra lavar p*** da camiseta que me eu escravo?""";Severa
"""põe pra lavar se eu p*** o imudo!""";Severa
"""Porra nenhuma!""";Severa
"""Caralho!""";Severa
"""Vá lá, filha da puta!""";Severa
""" Ele tinha que resolver logo essa p*** pra mim.""";Severa
"""Já rodei aí pra c****** ali aquele filhado a p*** ta f******!""";Severa
"""É bom mesmo, se não enfio o canudo no teu c****** até tu engasgar!""";Severa
"""Se esse arrombado tiver aqui, eu vou f****** seu mundo!""";Severa
""" Eu vou comer aquele c****** de lata com minha p****** dura!""";Severa
"""São uns porra louca!""";Severa
"""Bota pra dentro!""";Leve
A porrada tem que comer!;Severa
"""Porra, nenhuma!""";Severa
"""vai se fode""";Severa
"""Bunda""";Severa
"""Sexo anal""";Severa
"""Meu pinto""";Leve
"""Porra""";Severa
"""Eu peguei aids dele""";Severa
"""O pinto dele pulo pra fora""";Severa
"""Fodendo""";Severa
"""Piranhazinha""";Severa
"""Puta""";Severa
"""Merda""";Severa
"""Porrada""";Severa
"""Puta merda""";Severa
"""vai se fode""";Severa
