FRASE;TOX
"""puta""";Severo
"""filha da puta""";Severo
"""chupa pau""";Severo
"""viado""";Severo
"""bosta""";Severo
"""bosta!""";Severo
"""cuzão""";Severo
"""cuzão""";Severo
"""nariz de pinto""";Severo
"""imbecil""";Moderado
"""Peitão""";Moderado
"""Escroto""";Moderado
"""Cabeça de merda""";Severo
"""Viado""";Severo
"""mexicano""";Moderado
"""fudido""";Severo
"""aparece la bobo""";Leve
"""seu grosso""";Moderado
"""gostei do seu cabelo voce que estragou?""";Moderado
"""Desse cara ai?""";Moderado
"""Bobo""";Moderado
"""eu vou estragar voce""";Severo
"""me emprestar seu cerebro voce não ta usando""";Moderado
"""aquele danado""";Leve
"""voce e idiota""";Moderado
"""voce tem cara de idiota""";Moderado
"""que carro idiota""";Moderado
"""voce tem um apartamento idiota""";Moderado
"""voce deve ser muito idiota pra saber o que e""";Moderado
"""ele nao e um criminoso cruel como voce""";Moderado
"""voce tem uma cabeça em formato neadertal""";Moderado
"""seu negão""";Severo
"""viado""";Severo
"""bicha """;Severo
"""os dois são muito gays""";Severo
"""tuberculoso""";Moderado
"""bundão""";Severo
"""balofo""";Moderado
"""bafo de cinsero""";Moderado
"""fora daqui fumante filha da puta""";Severo
"""o tipo de bixa louca que você é""";Severo
"""esse babaca""";Severo
"""cale a boca""";Moderado
"""ele é uma bicha louca""";Severo
"""ta louca""";Moderado
"""vai toma no seu cú""";Severo
"""cala boca""";Moderado
"""vão se catar""";Severo
"""tu ta ferrado""";Severo
"""tu vai morrer""";Severo
"""olha o fogo ai vagabundo""";Severo
"""você é uma almodega safada""";Moderado
"""voce me enche o saco""";Moderado
"""Não quero voces aqui""";Leve
"""voce e infatil""";Leve
"""vai se ferrar""";Severo
"""cala essa boquinha""";Moderado
"""cambada de viado""";Severo
"""você alem de viado e burro""";Severo
"""seus trogloditas""";Severo
"""vão se ferra""";Severo
"""mais que miseravel""";Moderado
"""traiçoeiro""";Moderado
"""trapaceiro""";Moderado
"""ate loguinho, otario""";Moderado
"""sem vergonha""";Moderado
"""sujeito baixo""";Leve
"""Ta parendo atropelado""";Leve
"""Acabando com esse pica-pau""";Leve
"""Otario""";Leve
"""Vou atirar em você""";Leve
"""acabando com esse pica pau""";Leve
"""seu pica-pau metidinho""";Leve
"""otario""";Moderado
"""mãos pro alto""";Moderado
"""otario""";Moderado
"""sua vadia""";Severo
"""neguinho""";Moderado
"""vaclião""";Moderado
"""feio""";Leve
"""Tá bravinho""";Leve
"""filho de quenga""";Severo
"""idiotice""";Leve
"""Voce é cego?""";Moderado
"""Ela tem mau halito""";Severo
"""Parece um lixo podre""";Severo
"""sua mãe ta na zona""";Severo
"""filho da puta""";Severo
"lazarento""";Severo
"""vai toma no olho do seu cu""";Severo
"""seu corno""";Severo
"""aquele arrombado""";Severo
"""seu ze buceta""";Severo
"""fica acobertando aquele robo filha da puta não em""";Severo
"""cala essa boca""";Moderado
"""tá, tá o descartavel""";Leve
"""sua pitch bixa""";Severo
"""aquele filha da puta""";Severo
"""ele e muito irritante""";Leve
"""esse arrombado""";Severo
"""Tu ta fudido comigo em""";Severo
"""e debaixo daquele suvaco sai uma catinga""";Leve
"""Eu vou fude meio mundo""";Severo
"""Enfio canudo no teu cu""";Severo
"""Eu vou cume aquele cu de lata""";Severo
"""Cabeludo""";Leve
"""vai se fode seu mini sociopata""";Severo
"""a gente vai pra casa otario""";Severo
"""isso, porque voce e um inutil""";Severo
"""filho da puta""";Severo
"""Você e tão burro morty""";Moderado
"""Voce e o mesmo fracassado patetico""";Severo
"""seu corno, lazarento""";Severo
"""Enfia no meu do seu cú""";Severo
"""É filho da puta, toma""";Severo
"""um baitola como voce""";Severo
"""aquele idiota acredito""";Moderado
"""não negocinha com esse concozinho""";Severo
"""Ai bundão""";Moderado
"""seu velho escroto inutil""";Severo
"""seus sacos de bostas""";Severo
"""leva esse vale aqui, baixinho""";Leve
"""seu mala sem alça""";Leve
"""urubu malandro""";Moderado
"""isso mesmo, otario""";Moderado
"""otario!""";Moderado
"""Não seja bobo""";Leve
"""cara, que boba""";Leve
"""ela que é e louca""";Moderado
"""elá e louca""";Moderado
"""Aquela pica-pau maluca""";Leve
"""maquina malvada""";Leve
"""Cara que boba""";Leve
"""Fique longe""";Leve
"""Voce so sabe destruir""";Leve
"""Você nao sabe nada""";Leve
"""Não quero conhece-los""";Leve
"""Naninco""";Leve
"""Que coisa esquisita """;Leve
"""Eu faço voce voar pela janela""";Moderado
"""Terrivel""";Moderado
"""Loucos""";Leve
"""Você está sendo ridiculo""";Leve
"""Mau caráter""";Moderado
"""Eles são monstros""";Moderado
"""Nunca mais fale comigo denovo""";Moderado
"""Amigos da onça""";Leve
"""Está bancando o ridículo""";Leve
"""Tolice""";Leve
"""Estupido""";Leve
"""Baixinho""";Leve
"""ai cacete, cala a boca""";Moderado
"""Me pentelhando""";Moderado
"""Ta na merda""";Moderado
"""Eu sou tão tadinho""";Moderado
"""Voce nao tem grana""";Leve
"""Bate não seu sub-urbano""";Leve
"""e leva, pobre""";Moderado
"""Cala a boca""";Moderado
"""Me depenar""";Moderado
"""Estupradores""";Severo
"""eu to no telefone, bicha burra""";Severo
"""o cacete, bicha louca""";Severo
"""Voce tem cara de sub-urbano""";Moderado
"""Ho bixa burra""";Severo
"""Bixa louca""";Severo
"""Velinho""";Leve
"""Seu despresivel""";Moderado
"""Você é um menino mau""";Leve
"""Ataca o coelho""";Leve
"""Aquela criatura""";Leve
"""baixinho""";Leve
"""sua mula corcunda""";Moderado
"""vou manda-lo ao inferno""";Moderado
"""aquela criatura""";Leve
"""seu verme""";Severo
"""nojento""";Moderado
"""eu vou estourar você""";Severo
"""cala essa boca""";Moderado
"""Vai mula""";Moderado
"""Perverso""";Moderado
"""Vai a merda""";Severo
"""Seus truques baratos""";Leve
"""Malandragem""";Leve
"""Maldição""";Leve
"""pra cima de mim nao, fenhoso""";Leve
"""ah, seu viadinho""";Severo
"""Bundão, bundão""";Moderado
"""Seu pederasta""";Moderado
"""Come essa merda""";Severo
"""Cala a boca, porra""";Severo
"""Esta porra está torrada, Viado""";Severo
"""Tá querendo sacanear""";Moderado
"""Seu merda""";Severo
"""Nego""";Leve
"""Gorduroso""";Moderado
"""esse ligerinho e maluco da cabeça""";Moderado
"""Voce deve estar louco""";Moderado
"""seus ladrões""";Leve
"""Levaram tiro""";Moderado
"""Está tão tristonho""";Leve
"""seus ladrões de milho""";Leve
"""aquele pato sujo""";Leve
"""sem vergonhas""";Leve
"""Ele me espanta""";Leve
"""Não seja medroso""";Leve
"""chega pra la estupido""";Moderado
