Frase,Intensidade
porqu cus temp hein,1
julg pornograf infantil,1
mostr muit put,2
chuv dor,1
porqu cus,2
ond doi net cabeç merd hein,2
car fodas crioll intelect fig,2
únic form mant crioll sob control,1
neg desgraç,1
criol sob,1
and confi dent bem enfi bund,1
porr,2
vad branc,2
sortud desgraç,1
atra sex,1
bat bund,1
ah drog,1
drog caus pânic branc,1
agir criol,1
diab,1
desgraç peg cap chuv,1
porr robert viu passeat us beir cap chuv,2
desgraç senh,1
mulh branc bel bund,2
filh put,2
aind filh put idiot,2
caus porr cheir,2
invenç merd,2
dev merd car,2
dev ach porr sidney poti,2
pra mim aqu tud merd,2
b lut babac crioul ceg louc,1
filh put crioul diot,2
faz desgrass,1
drog músic,1
criol negr samur,1
moment criol,1
vi jorn bund pret,1
qu ter criol,1
filh put,2
merd,2
mat hom us bund,2
moment criol particul vergonh,1
vou com sess velh,1
tá borr tod criol saf,1
aqu gent desperdiç porr nenhum,2
mand pris estupr,2
descrev violent estupr,2
vou caç aí dá com própri testícul,1
vão estupr,2
fodas,2
gent ir atrás filh put,2
vou mont tras filh put,2
quer tod mund fod,2
tô fom pra caralh,2
merd rac,1
portugu filh put fal,2
desafi filh put,1
caralh,2
olh caralh,2
putaputaput,2
put fud,2
fud,2
emorro,2
diab,2
porr,2
bix,2
merd,2
mont bost,2
voc bost,2
rab,2
peid,1
caralh,2
merd,2
peg,2
oh caralh,2
put aparec,1
pra sincer bost,2
pau,2
porr,2
pé porr univers,2
cheg filh put,2
feir put,2
merd nad,1
cidad fod,2
franqu fod,2
piranh burr,2
tod pai dia com mãe alguém,2
com mãe,2
pai com mãe,2
ah cont porr,2
assim relax tant ouv merd caralh,2
brinqu rua piralh caralh,2
cag varand,1
pass bich,1
ah merd,2
fodas amig liberdad,2
repit caralh cad supercrack,2
caralh porr,2
fodas mãe fodas fodas fodas,2
ei porr agor,2
dei cont merd,2
acab últ ping forç ach fich habil porr dói pra val,2
com mãe,2
deix put vil comet err fatal,1
tão purit cam,1
merc abert crianç escr dub,1
deu pro irm bod,2
pens algum tip pervert,1
orden próstat,2
bost,2
agor ond priv ness bost galp,2
tent peg pênil,2
aliment demôni,2
vá cag,1
cal criat infern,2
gent exorciz filot capet,1
vej infern mãe,2
vej infern filh,2
parec org gay,2
porr,2
boa porr,2
porr,2
ah merd,2
merd,2
silênci set porr,2
pedac maconh pres frigide,2
ótim quas lá val val fort rápid,2
lend playboy,1
empurr pouc ded rápid fort,2
merd,2
merd com,2
cabeç mei bund,2
gordon ramsay diz merd hor desist,2
co infern chef aço combat,1
merd morg,2
fiz cont pornhub outr,2
merd,2
merd,2
masturb,2
feit chup car,2
quer chup tod,2
quer chup,2
vou chup broder,2
chup,2
vam faz merd,2
tá pra conselh goz,1
vou limp merd tod,2
ach mei fod,2
precis cag ovo,1
vai ferr tá ouv,1
fodas pergunt sobr hom estrel,2
olh tob,1
tom tob,2
porr car quer bem mat,2
camiset faç sex seguranç,2
porr,2
fantas cheir bund,1
pai porr,2
exmáquin trep sam,2
parec porr,1
merd,2
agor lev rabet palmit co traz cocazer,1
ah merd,2
ah jorr merd,2
avô fraqu vad,2
aí fod,2
velhot consegu fud car,2
vai ter mont vad,2
vão deix cas   vez mai quart vad,2
ninguém cat tant vad quant rio gretn,2
cham vadi,1
tá cert senh vadil,1
tod licenç senh vadil,1
fod barulh,2
pens put,2
car avô fud esquem tod,2
merd,2
poss fal fud,2
sop parec mij cával,1
boa noit amig imagin henry pass mão bund,1
proc pra vai lá pra p caluzet,2
melhor pra lav p camiset escrav,2
põe pra lav p imud,2
porr nenhum,2
caralh,2
vá lá filh put,2
resolv log p pra mim,2
rod aí pra c ali filh p ta f,2
bom enfi canud c engasg,2
arromb aqu vou f mund,2
vou com c lat p dur,2
um porr louc,2
bot pra dentr,1
porr com,2
porr nenhum,2
vai fod,2
bund,2
sex anal,2
pint,1
porr,2
peg aid,2
pint pul pra,2
fod,2
piranh,2
put,2
merd,2
porr,2
put merd,2
vai fod,2
us bund chapeu,2
linx,1
pra fud gent,2
cacet,1
cad merd,2
filh put,2
bost quent,2
filh put,2
merd,2
cacet,1
pirralh merd,2
bost,2
so faz merd,2
porr,2
fud,2
mat,1
tod mund vend porc,1
bat laric,1
mat laric,1
vend drog,1
engrav agor,1
vid sex,2
pod faz qualqu lug,2
vagabund,1
vend drog,1
ah caramb,1
carac,1
eca,1
saf,1
ah drog,1
ench sac,2
put merd,2
put,2
merd,2
algu precis umas,2
fic pau dur,2
fodas,2
chup,2
merd,2
mostr ded mei,2
fodas,2
chup,2
vou ferr,2
chup uva,1
porr,2
porr,2
merd,2
pai com mae,2
aicaramb,1
porr voc,2
trans gost,2
brawni maconh,1
bund,1
ta merd,2
culho,1
merd,2
consegu bund,1
gord merd,2
peid bem fort,1
caramb,1
quant merd,2
ta sec,2
pra morr,2
voc pra masturb,2
masturb mold carct,2
punhet,2
pe sac,1
ovo mol,2
deix olh ovo,2
olh ova arret,2
chup car,1
cag ovo,2
morr,1
glor goz,2
merd,2
ric cuzo,2
ric cuzo,2
porr voc ta fal,2
cacet,2
put,2
merd,2
caralh,2
voc ach got,1
nao gost,1
peit stripp,1
filh put,2
car vagin,1
merd,2
moç abaix calc,2
ja pens ter vagin,1
put merd,2
porr irma,2
chup sac,2
consol,2
porr,2
cacet,2
porr beb,2
porr,2
porr,2
sond anal,2
medic expeci cu,2
cu outr,2
caralh,2
sac,2
fend mei bund,1
merd,2
sup excit,2
caralh,2
caralh,2
merd,2
merd,2
diab,2
merd,2
fodas,2
cu,2
chup caralh,2
cu,2
chup caralh,2
ferr,2
ho merd,2
